,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ulladulla,-35.35,150.4667,65.77,67,99,7.81,AU,1649736372
283,leningradskiy,69.3833,178.4167,-3.5,88,15,4.61,RU,1649736372
284,francistown,-21.17,27.5079,61.34,94,22,5.86,BW,1649736373
285,palkino,57.5409,28.0126,31.75,84,20,5.79,RU,1649736374
286,arzgir,45.3728,44.2206,51.21,79,2,9.1,RU,1649736374
287,klaksvik,62.2266,-6.589,41.92,83,100,26.62,FO,1649736375
288,sumbe,-11.2061,13.8437,75.13,86,20,5.97,AO,1649736375
289,vadso,70.0744,29.7487,32.88,86,40,14.97,NO,1649736376
290,belaya gora,68.5333,146.4167,14.77,78,72,6.46,RU,1649736376
291,mengcheng,33.2579,116.5655,75.25,61,74,15.95,CN,1649736376
292,praya,14.9215,-23.5087,68.54,73,75,12.66,CV,1649736377
293,khandbari,27.3747,87.2039,75.96,67,57,5.19,NP,1649736377
294,santa rosa,14.3122,121.1114,85.08,73,100,4.45,PH,1649736164
295,risor,58.7206,9.2342,35.29,59,96,4.61,NO,1649736378
296,kolobrzeg,54.1757,15.5834,35.96,71,10,5.77,PL,1649736379
297,huilong,31.8111,121.655,70.86,75,49,10.69,CN,1649736379
298,barkhan,29.8977,69.5256,85.21,12,0,3.91,PK,1649736380
299,tezu,27.9167,96.1667,83.23,47,0,3.94,IN,1649736380
300,chunskiy,56.0815,99.6342,30.38,68,100,6.29,RU,1649736381
301,salalah,17.0151,54.0924,80.69,83,0,2.3,OM,1649736381
302,flin flon,54.7682,-101.865,22.15,89,99,9.73,CA,1649736382
303,samarai,-10.6167,150.6667,85.37,68,86,13.76,PG,1649736382
304,luderitz,-26.6481,15.1594,66.31,56,0,4.92,NA,1649736383
305,rovaniemi,66.5,25.7167,29.61,93,20,5.75,FI,1649736383
306,santa vitoria do palmar,-33.5189,-53.3681,65.48,95,39,5.08,BR,1649736384
307,umba,66.6871,34.3429,30.52,91,96,14.83,RU,1649736384
308,nishihara,26.1842,127.7558,79.68,87,75,8.05,JP,1649736385
309,gweru,-19.45,29.8167,59.18,94,100,7.07,ZW,1649736385
310,kruisfontein,-34.0033,24.7314,60.89,81,93,5.03,ZA,1649736385
311,naze,28.3667,129.4833,71.47,80,15,7.92,JP,1649736386
312,raga,8.4596,25.678,76.24,64,83,5.19,SS,1649736387
313,pevek,69.7008,170.3133,-5.71,85,6,6.24,RU,1649736387
314,tocopilla,-22.092,-70.1979,63.5,71,18,6.4,CL,1649736387
315,talnakh,69.4865,88.3972,18.21,80,100,12.39,RU,1649736388
316,bogande,12.9714,-0.1436,88.25,37,75,13.44,BF,1649736388
317,denia,38.8408,0.1057,59.79,90,88,8.01,ES,1649736389
318,ha giang,22.8333,104.9833,84.33,62,90,4.03,VN,1649736389
319,vestmanna,62.1564,-7.1664,40.12,87,100,20.71,FO,1649736390
320,tsybuliv,49.0766,29.8461,36.54,69,99,16.96,UA,1649736390
321,viransehir,37.2353,39.7631,48.81,81,10,11.9,TR,1649736391
322,tarakan,3.3,117.6333,87.3,70,20,5.75,ID,1649736391
323,plettenberg bay,-34.0527,23.3716,67.62,61,0,4.59,ZA,1649736392
324,acapulco,16.8634,-99.8901,78.62,83,75,5.75,MX,1649736392
325,rio grande,-32.035,-52.0986,66.94,91,87,7.7,BR,1649736393
326,itaituba,-4.2761,-55.9836,73.76,99,100,0.74,BR,1649736151
327,caibarien,22.5206,-79.4669,70.92,64,7,18.99,CU,1649736394
328,quibdo,5.6947,-76.6611,75.2,98,99,1.05,CO,1649736394
329,port lincoln,-34.7333,135.8667,64.78,67,100,13.82,AU,1649736394
330,sobolevo,54.4299,31.8996,36.91,75,100,10.45,RU,1649736395
331,pinega,64.7001,43.3936,33.87,94,100,5.77,RU,1649736395
332,kondinskoye,59.6481,67.41,34.74,88,11,6.4,RU,1649736396
333,kahului,20.8947,-156.47,77.02,78,40,19.57,US,1649736396
334,sao pedro do sul,-29.6206,-54.1789,65.95,93,100,5.93,BR,1649736397
335,skjervoy,70.0311,20.9714,33.8,76,100,12.48,NO,1649736397
336,trelew,-43.249,-65.3051,55.13,61,100,13.6,AR,1649736139
337,boende,-0.2167,20.8667,68.45,95,64,0.96,CD,1649736398
338,kerrville,30.0474,-99.1403,70.92,84,0,5.75,US,1649736291
339,grand gaube,-20.0064,57.6608,79.38,80,54,7.0,MU,1649736398
340,vila velha,-20.3297,-40.2925,75.15,94,40,3.44,BR,1649736399
341,say,13.1007,2.3689,88.47,34,80,5.37,NE,1649736399
342,sioux lookout,50.1001,-91.917,26.69,93,56,5.82,CA,1649736400
343,kulpahar,25.3167,79.65,99.41,13,100,5.41,IN,1649736400
344,san quintin,30.4833,-115.95,59.65,80,8,15.32,MX,1649736401
345,saint-joseph,-21.3667,55.6167,74.21,80,63,16.78,RE,1649736401
346,nahavand,34.1885,48.377,59.0,24,0,4.03,IR,1649736402
347,split,43.5089,16.4392,42.91,75,0,5.75,HR,1649736402
348,tiksi,71.6872,128.8694,1.76,87,98,5.32,RU,1649736403
349,pictou,45.6834,-62.7153,35.44,92,6,10.04,CA,1649736279
350,katsuura,35.1333,140.3,67.39,75,0,13.04,JP,1649736403
351,tirumullaivasal,11.2333,79.8333,86.99,64,100,6.4,IN,1649736404
352,songjianghe,42.1859,127.479,40.1,76,100,6.71,CN,1649736404
353,yumen,40.2833,97.2,49.12,12,5,9.6,CN,1649736405
354,chongoyape,-6.6406,-79.3892,74.3,78,99,2.15,PE,1649736405
355,te anau,-45.4167,167.7167,54.95,58,41,5.77,NZ,1649736406
356,mandalgovi,45.7625,106.2708,32.18,38,100,11.36,MN,1649736406
357,colac,-38.3333,143.5833,57.16,40,28,6.6,AU,1649736407
358,pamekasan,-7.1568,113.4746,85.26,64,12,2.84,ID,1649736407
359,necochea,-38.5473,-58.7368,50.63,87,7,11.1,AR,1649736408
360,shreveport,32.5251,-93.7502,76.03,75,40,14.97,US,1649736301
361,dingzhou,38.5131,114.9956,65.55,36,100,11.86,CN,1649736409
362,jieshi,22.8134,115.8257,84.94,67,0,6.6,CN,1649736409
363,carutapera,-1.195,-46.02,75.25,95,100,6.78,BR,1649736410
364,valdivia,-39.8142,-73.2459,44.69,98,83,1.72,CL,1649736410
365,noumea,-22.2763,166.4572,82.38,72,21,8.5,NC,1649736222
366,henties bay,-22.116,14.2845,62.65,84,0,3.53,NA,1649736411
367,wangaratta,-36.3667,146.3333,73.47,38,75,5.75,AU,1649736411
368,ezhou,30.4,114.8333,80.42,52,100,11.16,CN,1649736412
369,burriana,39.889,-0.085,56.66,80,99,5.99,ES,1649736412
370,pongol,8.2786,124.7483,71.29,88,100,3.87,PH,1649736413
371,la asuncion,11.0333,-63.8628,77.41,85,60,15.88,VE,1649736413
372,isangel,-19.55,169.2667,83.48,73,7,11.61,VU,1649736414
373,tomohon,1.3346,124.8392,83.34,54,62,1.97,ID,1649736414
374,zaykovo,57.5613,62.7568,38.48,83,63,5.39,RU,1649736415
375,ferme-neuve,46.7001,-75.4493,37.18,91,100,3.22,CA,1649736415
376,am timan,11.0297,20.2827,84.47,44,50,6.64,TD,1649736416
377,bangkalan,-7.0455,112.7351,89.55,64,7,1.21,ID,1649736416
378,santa comba,43.0331,-8.8093,50.68,97,99,6.91,ES,1649736417
379,jiaozuo,35.2397,113.2331,61.2,80,100,4.23,CN,1649736417
380,kaputa,-8.4689,29.6619,66.88,91,99,2.77,ZM,1649736418
381,homer,59.6425,-151.5483,46.78,49,0,3.44,US,1649736418
382,maua,-23.6678,-46.4614,71.08,83,100,3.91,BR,1649736221
383,mehamn,71.0357,27.8492,33.75,93,100,26.46,NO,1649736419
384,inta,66.0317,60.1659,37.17,100,100,8.25,RU,1649736419
385,ambilobe,-13.2,49.05,73.15,86,21,3.42,MG,1649736420
386,shakawe,-18.3667,21.85,64.78,86,90,4.65,BW,1649736420
387,puri,19.8,85.85,86.52,77,27,19.15,IN,1649736203
388,komsomolskiy,40.4272,71.7189,75.92,33,100,13.8,UZ,1649736421
389,panzhihua,26.5851,101.7128,69.87,53,98,6.71,CN,1649736421
390,moree,-29.4667,149.85,86.02,30,0,9.22,AU,1649736422
391,posevnaya,54.3006,83.3297,31.8,83,4,7.05,RU,1649736422
392,laguna,38.421,-121.4238,52.61,44,0,13.8,US,1649736423
393,cairns,-16.9167,145.7667,89.06,94,100,11.5,AU,1649736423
394,meulaboh,4.1363,96.1285,84.04,68,23,3.47,ID,1649736424
395,mollendo,-17.0231,-72.0147,66.29,82,97,7.65,PE,1649736424
396,marsh harbour,26.5412,-77.0636,71.04,63,0,18.48,BS,1649736332
397,khudumelapye,-23.8833,24.75,59.67,94,10,8.39,BW,1649736425
398,champerico,14.3,-91.9167,83.52,66,23,6.8,GT,1649736425
399,yining,29.0361,114.5636,92.57,32,18,0.38,CN,1649736426
400,rawson,-43.3002,-65.1023,55.33,64,100,15.08,AR,1649736426
401,toguchin,55.2353,84.3858,32.11,84,14,5.08,RU,1649736427
402,upington,-28.4478,21.2561,63.28,60,0,5.14,ZA,1649736427
403,gamba,-2.65,10.0,76.71,92,100,4.99,GA,1649736428
404,winslow,35.0242,-110.6974,59.18,39,0,21.85,US,1649736428
405,fare,-16.7,-151.0167,81.97,72,4,12.86,PF,1649736429
406,kabare,-2.4683,28.8242,59.81,92,100,1.01,CD,1649736429
407,akyab,20.15,92.9,85.77,61,22,8.21,MM,1649736430
408,astrea,9.4983,-73.9759,81.5,68,99,2.55,CO,1649736431
409,juterbog,51.9833,13.0833,38.17,72,81,5.82,DE,1649736153
410,atikokan,48.7555,-91.6216,26.94,95,22,4.68,CA,1649736431
411,fortuna,40.5982,-124.1573,47.66,79,100,13.8,US,1649736432
412,tilichiki,60.4667,166.1,11.1,83,100,13.18,RU,1649736432
413,shimanovsk,52.0,127.7,32.81,71,100,8.03,RU,1649736433
414,codrington,-38.2667,141.9667,61.03,50,37,11.65,AU,1649736433
415,valleyview,55.0667,-117.2859,16.66,59,100,13.85,CA,1649736255
416,provideniya,64.3833,-173.3,28.51,86,100,20.13,RU,1649736434
417,nalut,30.3333,10.85,59.74,39,99,20.83,LY,1649736434
418,buenavista,8.9769,125.4089,84.9,65,77,7.58,PH,1649736435
419,topeka,39.0483,-95.678,55.89,63,0,8.05,US,1649736140
420,athabasca,54.7169,-113.2854,17.69,66,100,14.81,CA,1649736436
421,sangar,63.9242,127.4739,25.79,79,40,3.13,RU,1649736436
422,constitucion,-35.3333,-72.4167,53.64,70,100,10.63,CL,1649736437
423,ruteng,-8.6136,120.4721,77.07,49,9,0.76,ID,1649736437
424,el seibo,18.7641,-69.0375,70.77,89,9,5.86,DO,1649736438
425,marsa matruh,31.3525,27.2453,57.47,66,5,11.68,EG,1649736438
426,jhang,33.6748,72.6963,86.61,17,95,5.23,PK,1649736439
427,bahia blanca,-38.7196,-62.2724,52.16,61,7,7.02,AR,1649736439
428,shalakusha,62.2247,40.2539,31.23,97,100,1.79,RU,1649736439
429,hami,42.8,93.45,57.27,9,35,19.42,CN,1649736440
430,ixtapa,20.7,-105.2,74.43,83,40,2.3,MX,1649736296
431,black river,18.0264,-77.8487,76.26,81,5,5.97,JM,1649736441
432,tarpon springs,28.1461,-82.7568,69.82,85,0,1.99,US,1649736441
433,bentonville,36.3728,-94.2088,58.59,97,100,9.22,US,1649736295
434,ugoofaaru,5.6667,73.0,84.72,73,33,11.41,MV,1649736442
435,touros,-5.1989,-35.4608,78.19,80,100,6.76,BR,1649736442
436,ampanihy,-24.7,44.75,70.65,79,100,9.86,MG,1649736443
437,carhuaz,-9.2819,-77.6447,59.49,89,100,2.35,PE,1649736443
438,murfreesboro,35.8456,-86.3903,63.57,89,75,10.36,US,1649736206
439,veraval,20.9,70.3667,86.05,56,76,7.67,IN,1649736444
440,dhrangadhra,22.9833,71.4667,89.73,30,100,13.69,IN,1649736444
441,asyut,27.181,31.1837,58.35,58,0,14.63,EG,1649736445
442,tamandare,-8.7597,-35.1047,76.48,78,100,0.96,BR,1649736445
443,lock haven,41.137,-77.4469,50.9,98,100,2.26,US,1649736199
444,geraldton,-28.7667,114.6,72.01,53,0,16.11,AU,1649736446
445,pingxiang,27.6167,113.85,90.9,36,3,0.98,CN,1649736446
446,manta,-0.95,-80.7333,76.78,88,100,8.05,EC,1649736447
447,santa cruz,-17.8,-63.1667,73.2,94,97,10.78,BO,1649736447
448,sistranda,63.7256,8.834,37.36,77,100,17.11,NO,1649736448
449,guasdualito,7.2424,-70.7324,77.25,81,84,6.02,VE,1649736448
450,padang,-0.9492,100.3543,87.85,61,44,5.79,ID,1649736449
451,lethem,3.3803,-59.7968,78.31,75,73,12.93,GY,1649736449
452,tual,-5.6667,132.75,83.01,73,97,4.07,ID,1649736450
453,srednekolymsk,67.45,153.6833,17.49,69,15,6.89,RU,1649736450
454,marovoay,-16.1,46.6333,71.82,75,4,6.24,MG,1649736451
455,olafsvik,64.8945,-23.7142,33.57,79,73,22.7,IS,1649736452
456,kidal,18.4411,1.4078,81.48,5,4,10.45,ML,1649736452
457,tynda,55.1667,124.7167,31.41,48,99,10.27,RU,1649736453
458,roebourne,-20.7833,117.1333,92.25,20,0,5.32,AU,1649736453
459,khuzdar,27.7384,66.6434,79.45,19,0,5.59,PK,1649736454
460,bogale,16.2833,95.4,93.7,33,4,7.81,MM,1649736454
461,xining,36.6167,101.7667,54.25,23,31,7.67,CN,1649736455
462,rossland,49.0831,-117.8022,23.7,66,100,1.81,CA,1649736455
463,marienburg,54.0359,19.0266,33.89,90,6,6.24,PL,1649736456
464,bloemfontein,-29.1211,26.214,49.93,89,37,5.7,ZA,1649736415
465,namibe,-15.1961,12.1522,75.81,76,91,8.39,AO,1649736457
466,salima,-13.7804,34.4587,67.28,90,10,4.34,MW,1649736457
467,saravan,39.7196,45.6483,49.78,55,23,6.98,AM,1649736457
468,pedernales,18.0384,-71.744,78.78,69,35,5.75,DO,1649736458
469,fenelon falls,44.5334,-78.7496,50.81,96,100,10.38,CA,1649736458
470,safaga,26.7292,33.9365,70.86,47,1,17.83,EG,1649736459
471,rimbey,52.6334,-114.2353,20.62,58,65,13.04,CA,1649736459
472,praia da vitoria,38.7333,-27.0667,60.76,96,92,7.94,PT,1649736460
473,bengkulu,-3.8004,102.2655,84.72,64,69,5.37,ID,1649736460
474,miraflores,19.2167,-98.8083,69.03,64,58,4.7,MX,1649736461
475,acari,-15.4311,-74.6158,68.02,81,19,4.25,PE,1649736461
476,kidderminster,52.3882,-2.25,50.0,96,86,4.9,GB,1649736462
477,leh,34.1667,77.5833,40.15,50,100,0.11,IN,1649736462
478,wajima,37.4,136.9,61.9,72,19,10.47,JP,1649736463
479,port hedland,-20.3167,118.5667,98.65,18,1,4.61,AU,1649736463
480,lazaro cardenas,17.9583,-102.2,75.54,86,68,2.55,MX,1649736464
481,umm kaddadah,13.6017,26.6876,74.12,37,2,6.55,SD,1649736464
482,mitu,1.1983,-70.1733,70.21,99,98,0.89,CO,1649736464
483,kirakira,-10.4544,161.9205,84.49,70,61,5.91,SB,1649736465
484,yarke pole,45.608,34.3172,40.01,95,100,19.89,UA,1649736466
485,omaruru,-21.4333,15.9333,63.93,35,5,2.39,NA,1649736466
486,burnie,-41.0667,145.9167,63.61,50,81,2.28,AU,1649736467
487,trairi,-3.2778,-39.2689,76.01,90,96,3.53,BR,1649736372
488,rabo de peixe,37.8,-25.5833,60.31,94,75,14.97,PT,1649736468
489,zilupe,56.3862,28.1217,32.54,92,72,4.63,LV,1649736468
490,ayan,56.45,138.1667,26.29,90,100,15.12,RU,1649736468
491,ukiah,39.1502,-123.2078,45.37,72,0,12.66,US,1649736469
492,touho,-20.7833,165.2333,80.92,70,30,3.11,NC,1649736469
493,petropavlovsk-kamchatskiy,53.0452,158.6483,41.59,39,40,6.71,RU,1649736470
494,nogliki,51.8333,143.1667,29.73,97,100,16.62,RU,1649736470
495,ndele,8.4109,20.6473,75.72,68,63,5.14,CF,1649736471
496,kharovsk,59.9642,40.1912,33.75,98,100,4.21,RU,1649736471
497,ayagoz,47.9714,80.4392,50.83,28,97,19.69,KZ,1649736472
498,siteki,-26.45,31.95,57.81,95,0,2.57,SZ,1649736472
499,verkhnevilyuysk,63.4453,120.3167,27.19,75,97,3.91,RU,1649736473
500,ozernovskiy,51.5,156.5167,29.64,73,6,6.35,RU,1649736473
501,chute-aux-outardes,49.1168,-68.399,31.42,96,95,3.96,CA,1649736474
502,opuwo,-18.0607,13.84,66.63,76,100,1.48,NA,1649736474
503,havre,49.5833,0.3333,55.17,71,0,11.5,FR,1649736475
504,lewistown,40.5992,-77.5714,51.73,100,100,0.0,US,1649736475
505,san francisco,37.7749,-122.4194,50.31,67,20,21.85,US,1649736410
506,the valley,18.217,-63.0578,77.83,74,5,16.04,AI,1649736476
507,najran,17.4924,44.1277,74.46,29,0,5.32,SA,1649736476
508,yar-sale,66.8333,70.8333,34.88,100,100,11.05,RU,1649736476
509,vredendal,-31.6683,18.5012,72.25,38,0,6.2,ZA,1649736477
510,porto santo,33.072,-16.3415,61.18,77,20,16.11,PT,1649736477
511,walvis bay,-22.9575,14.5053,58.08,91,1,5.01,NA,1649736478
512,cosala,24.4125,-106.6908,68.43,68,94,1.05,MX,1649736478
513,seaforth,17.9358,-76.4573,77.85,89,20,8.77,JM,1649736479
514,wenling,28.3669,121.36,72.81,73,35,6.31,CN,1649736479
515,jacareacanga,-6.2222,-57.7528,72.61,99,92,0.87,BR,1649736480
516,smiltene,57.4244,25.9016,28.54,91,17,3.69,LV,1649736480
517,morales,2.757,-76.6172,61.09,97,100,1.66,CO,1649736481
518,robertsport,6.7533,-11.3686,79.14,90,84,4.94,LR,1649736481
519,kawalu,-7.3817,108.2082,86.4,56,5,4.36,ID,1649736482
520,diamantino,-14.4086,-56.4461,76.6,77,63,2.35,BR,1649736482
521,kampot,10.6167,104.1833,87.85,60,58,6.93,KH,1649736483
522,nisia floresta,-6.0911,-35.2086,74.21,84,100,3.6,BR,1649736483
523,vao,-22.6667,167.4833,76.84,76,8,13.8,NC,1649736484
524,campbell river,50.0163,-125.2446,42.46,63,53,6.2,CA,1649736265
525,tongliao,43.6125,122.2653,54.12,18,14,10.36,CN,1649736484
526,tambopata,-12.7333,-69.1833,72.32,98,100,2.33,PE,1649736485
527,huinan,42.6225,126.2614,48.88,38,100,11.39,CN,1649736485
528,sosua,19.7667,-70.5167,75.24,82,40,9.33,DO,1649736486
529,nedumangad,8.6,77.0,81.68,78,75,0.0,IN,1649736486
530,bathsheba,13.2167,-59.5167,79.41,73,75,16.11,BB,1649736487
531,fort nelson,58.8053,-122.7002,9.0,95,100,3.0,CA,1649736481
532,thinadhoo,0.5333,72.9333,84.18,68,31,11.21,MV,1649736488
533,bull savanna,17.8868,-77.5902,74.08,80,5,6.82,JM,1649736488
534,sibu,2.3,111.8167,88.79,59,62,4.41,MY,1649736488
535,tarauaca,-8.1614,-70.7656,72.7,98,62,2.42,BR,1649736489
536,la ronge,55.1001,-105.2842,16.99,84,96,13.2,CA,1649736489
537,diofior,14.1833,-16.6667,68.34,70,36,11.65,SN,1649736490
538,christchurch,-43.5333,172.6333,60.94,74,75,10.36,NZ,1649736263
539,magadan,59.5667,150.8,25.54,56,0,2.37,RU,1649736316
540,vernon,50.2581,-119.2691,32.65,73,98,1.48,CA,1649736312
541,siderno,38.2779,16.302,50.34,66,77,3.44,IT,1649736491
542,oistins,13.0667,-59.5333,78.89,73,75,16.11,BB,1649736491
543,porto torres,40.835,8.3972,46.58,60,90,9.44,IT,1649736492
544,lahaina,20.8783,-156.6825,77.0,91,42,10.33,US,1649736492
545,farafangana,-22.8167,47.8333,74.53,83,94,4.36,MG,1649736493
546,saint anthony,45.0205,-93.218,48.7,60,0,0.0,US,1649736494
547,vengerovo,55.6848,76.7471,37.53,69,3,7.52,RU,1649736494
548,iskateley,67.6803,53.1512,33.42,99,100,9.71,RU,1649736494
549,san juan,-31.5375,-68.5364,58.93,38,0,4.5,AR,1649736495
550,santo tomas,14.1079,121.1414,83.55,61,100,3.85,PH,1649736495
551,puerto ayacucho,5.6639,-67.6236,76.06,92,99,3.89,VE,1649736496
552,niquero,20.0431,-77.5828,74.73,79,18,22.55,CU,1649736496
553,ushtobe,45.2514,77.9838,62.37,33,100,9.91,KZ,1649736497
554,poum,-20.2333,164.0167,79.84,75,16,14.03,NC,1649736497
555,niquelandia,-14.4739,-48.4597,72.12,82,59,1.79,BR,1649736268
556,nouadhibou,20.931,-17.0347,63.18,89,98,23.2,MR,1649736498
557,tianpeng,30.9866,103.9393,75.61,47,100,11.23,CN,1649736499
558,fukue,32.6881,128.8419,68.27,82,56,0.96,JP,1649736499
559,paita,-5.0892,-81.1144,69.98,84,60,12.68,PE,1649736500
560,dickinson,29.4608,-95.0513,75.16,88,100,12.66,US,1649736208
561,westlock,54.1502,-113.8688,19.11,62,99,14.29,CA,1649736338
562,muswellbrook,-32.2667,150.9,70.65,64,88,7.02,AU,1649736485
563,ngorongoro,-3.2397,35.4875,52.68,90,100,5.91,TZ,1649736501
